project_id,payment,contract,project,invoice no,invoice date,certified amount,paid amount,payment status,Contractual interest due,Date of Cash Cheque Receipt,Period for payment release,Period in which interest is applied,Amount of interest claimed (EGP),delayed duration(Days) ,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Sophia-Mall-P.02-UP-26-Jun-26,1.0,SM-02,Sophia-Mall-P.02-UP-26-Jun-26,1.0,5-Dec-25,26479934.0,26479934.0,Paid,45.0,6-Feb-26,63.0,18.0,57196.66,18.0,,,,,
Sophia-Mall-P.02-UP-26-Jun-26,2.0,SM-02,Sophia-Mall-P.02-UP-26-Jun-26,2.0,2-Jan-26,31072536.0,31072536.0,Paid,45.0,26-Feb-26,55.0,10.0,37287.04,10.0,,,,,
Sophia-Mall-P.02-UP-26-Jun-26,3.0,SM-02,Sophia-Mall-P.02-UP-26-Jun-26,3.0,30-Jan-26,33424923.0,33424923.0,Paid,45.0,3-Apr-26,63.0,18.0,72197.83,18.0,,,,,
Sophia-Mall-P.02-UP-26-Jun-26,4.0,SM-02,Sophia-Mall-P.02-UP-26-Jun-26,4.0,27-Feb-26,36708999.0,36708999.0,Paid,45.0,19-Apr-26,51.0,6.0,26430.48,6.0,,,,,
Sophia-Mall-P.02-UP-26-Jun-26,5.0,SM-02,Sophia-Mall-P.02-UP-26-Jun-26,5.0,27-Mar-26,40073252.0,27249811.36,Partially Paid,45.0,29-May-26,63.0,18.0,86558.22,18.0,,,,,
